Geo Point;Geo Shape;objectid;id_voie;nom_voie;code_insee;nom_commune;nombre_support;code_modele;libelle_modele;date_creation;gestionnaire;commentaire
48.0395592001, -1.66667636655;"{""type"": ""Point"", ""coordinates"": [-1.666676366552187, 48.03955920006679]}";67;2114;Avenue Remondel;35206;Noyal-Châtillon-sur-Seiche;7;;S 23;2013-12-31T23:00:00Z;Rennes Métropole;face n°5
48.0901484191, -1.69295908741;"{""type"": ""Point"", ""coordinates"": [-1.692959087407802, 48.090148419070125]}";68;8319;Rue de Nantes;35281;Saint-Jacques-de-la-Lande;7;;SV 1;2009-12-31T23:00:00Z;Rennes Métropole;n°270
48.1004069676, -1.66047696795;"{""type"": ""Point"", ""coordinates"": [-1.660476967950738, 48.100406967645334]}";71;8676;Rue de Belleville;35238;Rennes;2;;;2018-01-28T23:00:00Z;Rennes Métropole;n°17
48.0923017096, -1.67563376634;"{""type"": ""Point"", ""coordinates"": [-1.675633766336298, 48.092301709609444]}";73;9865;Boulevard de l'Yser;35238;Rennes;3;;S 23;2014-12-31T23:00:00Z;Rennes Métropole;place de la Communauté angle - pas de SV
48.1170957252, -1.67697517595;"{""type"": ""Point"", ""coordinates"": [-1.676975175947364, 48.117095725174046]}";77;8770;Rue Lesage;35238;Rennes;5;;S 23-1;2018-01-16T23:00:00Z;Rennes Métropole;n°2 - pas de SV
48.0870122541, -1.69685930465;"{""type"": ""Point"", ""coordinates"": [-1.696859304652527, 48.0870122541373]}";81;8321;Allée du Cormier;35281;Saint-Jacques-de-la-Lande;3;;SV 1;2013-12-31T23:00:00Z;Rennes Métropole;n°26
48.110981706, -1.69296664418;"{""type"": ""Point"", ""coordinates"": [-1.692966644175348, 48.11098170602819]}";85;9318;Rue Papu;35238;Rennes;7;;S 23-1;2017-11-08T23:00:00Z;Rennes Métropole;Vaneau angle - pas de SV
48.0909916398, -1.67852225229;"{""type"": ""Point"", ""coordinates"": [-1.678522252291259, 48.090991639777364]}";188;9796;Square des Hautes Chalais;35238;Rennes;4;;S 23;;;n°21 - privé
48.1276260293, -1.6940280193;"{""type"": ""Point"", ""coordinates"": [-1.694028019303603, 48.12762602930701]}";647;9293;Avenue de la Préfecture;35238;Rennes;4;;autre;;;n°3 - pas de SV
48.0444978417, -1.66846635081;"{""type"": ""Point"", ""coordinates"": [-1.668466350807728, 48.044497841678144]}";1211;2190;la Croix de Pierre;35206;Noyal-Châtillon-sur-Seiche;5;;SV 7;;Privé;entrée supermarché
48.0990667962, -1.6847647697;"{""type"": ""Point"", ""coordinates"": [-1.684764769704002, 48.09906679616586]}";6;9661;Rue Ginguené;35238;Rennes;5;;S 23;2012-05-31T22:00:00Z;Rennes Métropole;n°13B
48.1050093686, -1.65051723815;"{""type"": ""Point"", ""coordinates"": [-1.65051723814695, 48.1050093685694]}";10;8644;Boulevard Villebois-Mareuil;35238;Rennes;3;;S 23;2002-12-31T23:00:00Z;Rennes Métropole;n°62
48.1302529012, -1.66281635005;"{""type"": ""Point"", ""coordinates"": [-1.662816350045391, 48.13025290116783]}";15;8995;Avenue Général George S. Patton;35238;Rennes;4;;autre;1996-12-31T23:00:00Z;Rennes Métropole;n°272
48.0835233713, -1.66016531556;"{""type"": ""Point"", ""coordinates"": [-1.660165315557494, 48.08352337133116]}";21;8993;Avenue des Pays-Bas;35238;Rennes;6;;autre;1995-12-31T23:00:00Z;Rennes Métropole;parking Cs P.Lafarge
48.0878613607, -1.6748821312;"{""type"": ""Point"", ""coordinates"": [-1.674882131197012, 48.087861360697886]}";22;9866;Avenue Henri Fréville;35238;Rennes;4;;autre;2001-12-31T23:00:00Z;Rennes Métropole;station métro Henri Fréville - pas de SV
48.0855944351, -1.66811852132;"{""type"": ""Point"", ""coordinates"": [-1.668118521322113, 48.0855944350517]}";35;9680;Square de Setúbal;35238;Rennes;5;;S 23;2012-08-31T22:00:00Z;Rennes Métropole;n°14
